,Haiku,Sexe réel,Sexe prédit,Proba prédite homme,Proba prédite femme
3200,fin d'après-midi\\l'ombre d'une fleur sauvage\\rejoint le jardin,H,H,0.0,1.0
2110,Un escargot\\dans l'oeil droit de la citrouille-\\lendemain d'Halloween,H,F,1.0,0.0
1190,en haut des cuisses\\dans l'espace sous le slip\\un morceau de mer,H,H,0.0,1.0
2435,Grisaille de décembre -\\j'allume au-dessus de la table\\pour écrire des v?ux,F,H,0.0,1.0
3224,journée des retraites -\\une mite s'emmêle\\dans mes cheveux,F,H,0.0,1.0
1423,pause fumette\\trois Pères Noël avec barbes\\décapotées,H,F,1.0,0.0
3051,Maison des aïeux -\\Semées par le vent\\des nouvelles fleurs...,F,H,0.0,1.0
907,thé du soir -\\la flamme de l'allumette\\réveille les ombres,H,F,1.0,0.0
2587,nuit froide --\\je deviens\\l'oreiller du chien,H,F,1.0,0.0
2252,petit matin -\\parmi les herbes fauchées\\aussi des fleurs,H,H,0.0,1.0
769,"Pénombre au jardin.\\A l'aube, seules apparaissent\\les fleurs du cerisier.",H,F,1.0,0.0
2058,voisine de rame\\ses cernes de fatigue\\son tee-shirt « Happy »,F,H,0.0,1.0
1343,(bleu pur --\\un oeuf de rouge-gorge\\cassé,H,F,1.0,0.0
1175,Cèdres chargés de pluie\\ma peau se sent si mouillée aujourd'hui\\parfum des roses jaune,F,F,1.0,0.0
2294,nuit de pleine lune -\\un moustique sur l'écran\\de l'ordinateur,H,H,0.0,1.0
852,sous la poussière du grenier --\\une autre enveloppe non ouverte,H,H,0.0,1.0
69,Entre le silence.\\Et le silence de l'autre.\\Comme de la pluie.,H,H,0.0,1.0
2104,après la conférence\\les pigeons font la fête\\avec les miettes,H,F,1.0,0.0
2679,doucement la lame\\sous la chair de la mangue\\soleil couchant,F,H,0.0,1.0
1779,Esprit de Noël -\\j'ai expulsé les migrants\\qui squattaient ma crèche,H,H,0.0,1.0
216,Sans toi\\sous le ciel d'hiver\\nos pas perdus,F,F,1.0,0.0
3308,pluie froide~\\une heure à épaissir l'assida\\à feu doux,F,F,1.0,0.0
757,toute la nuit à contempler\\la lune -\\le cercle parfait d'argent de l'escargot,H,F,1.0,0.0
474,Sur le sol trempé\\des centaines de bogues -\\aucune étoile.,H,H,0.0,1.0
251,Goût de saké~\\dans la brume parfois\\le parfum de ma mère,F,F,1.0,0.0
1220,Entrée du bois -\\débris de faïence WC\\sous l'églantier en fleur,F,H,0.0,1.0
1718,empilées avec soin\\les odeurs\\de bois d'oeuvre scié,H,H,0.0,1.0
1901,à pas lents dans le parc\\herbe et terre humide avant\\huit heures de clim,H,H,0.0,1.0
2030,la lune \\et mon verre de vin\\à moitié vides,H,H,0.0,1.0
2318,sortant du docteur\\plus lourdes et plus froides\\les gouttes de pluie,F,H,0.0,1.0
2300,printemps battant~\\toutes ces épices\\dans ma cuisine!,F,F,1.0,0.0
185,Jour des Morts --\\mon visage non rasé\\dans le miroir,H,H,0.0,1.0
93,Nuit du nouvel-an\\la chaleur de ses yeux\\sur le champagne froid,F,F,1.0,0.0
1154,Jardin du Peyrou -\\sur son cheval Louis XIV\\écoute du rap,H,F,1.0,0.0
2120,crépuscule de novembre --\\la chaleur\\d'une chanson familière,H,H,0.0,1.0
343,ma chambre d'enfant\\des mouvements lents d'une coccinelle\\couverte de poussière!,F,H,0.0,1.0
111,bientôt l'orage --\\la fascination de mon fils de douze ans\\pour la guerre,H,F,1.0,0.0
2699,matin de juillet-\\le coton parade\\dans le ciel bleu,F,F,1.0,0.0
2358,(aube du lundi --\\le silence\\des feux de signalisation),H,H,0.0,1.0
2373,premiers crocus fanés\\de plus en plus varié\\le chant des oiseaux,F,F,1.0,0.0
3107,Avec une faucille\\grand père montre le croissant de lune,H,H,0.0,1.0
1919,Épiphanie -\\les bourgeons du magnolia\\défient le ciel gris,H,F,1.0,0.0
1068,"autour de la lune\\lentement, la brume\\au-dessus des grillons",H,F,1.0,0.0
1791,étable silencieuse...\\la force soudaine\\de la pisse du cheval,F,F,1.0,0.0
691,cul d’une canette\\sous l’herbe givrée\\luit la lune,H,H,0.0,1.0
1199,pluie de décembre ---\\la longue nuit\\plus longue,H,H,0.0,1.0
1807,(lunettes_de_soleilécouteurs &amp; le monde au delà),H,H,0.0,1.0
1777,tronc du vieux pin -\\une mue de cigale\\face au couchant,H,F,1.0,0.0
961,Sur le fil à linge\\un oiseau en équilibre-\\quelque part à Fallouja,H,H,0.0,1.0
761,reflet dans la vitre\\de son visage en pleurs -\\bruit sourd de la pluie,H,H,0.0,1.0
1513,crépuscule --\\cette chanson\\me fait encore pleurer,H,H,0.0,1.0
3255,Le vieux puits.\\Un écho.\\Avec chaque balle.,H,H,0.0,1.0
711,sous la pluie sans fin\\sur la place grise\\les couleurs du manège,H,H,0.0,1.0
332,pluie froide d'avril --\\l'anniversaire de ma fille\\sur un autre continent,H,H,0.0,1.0
431,heure d'hiver~\\l'amertume\\d'un chocolat noir,F,F,1.0,0.0
1036,musique d'orgue\\dans le métro\\ses longues jambes,H,H,0.0,1.0
1750,l'ombre\\de son piercing au menton\\marque midi,H,F,1.0,0.0
2074,brouillard matinal\\les points vertes des oignons\\percent le sol,H,H,0.0,1.0
991,(roues de médecine\\des cairns de pierres des champs apparaissent\\dans le brouillard froid du printemps),H,F,1.0,0.0
2579,jour sans haïku\\écoute...\\le silence,F,H,0.0,1.0
3118,la tempête de grêle\\réarrange le gravier\\du jardin Zen,F,H,0.0,1.0
1985,solstice d'été\\à la fin de la trace de l'escargot\\la fin de l'escargot,F,H,0.0,1.0
2948,la brume monte --\\elle repousse ses cheveux\\sur son épaule,H,H,0.0,1.0
547,bruine d'été au confluent des deux fleuves - barques immobiles,H,H,0.0,1.0
2154,après la tempête (de neige)\\les rues\\n'ont plus de noms,H,H,0.0,1.0
2583,premières mesures -\\le reflet des projecteurs\\sur les cordes du banjo,H,H,0.0,1.0
2221,vents et pluie\\entre les montagnes\\le dos d'une baleine,F,F,1.0,0.0
2911,des petites mains froides-\\le bonhomme de neige sourit déjà,H,H,0.0,1.0
2127,la vieille dame s'agenouille\\pour prier - un oiseau enfermé\\bat des ailes à la fenêtre,H,H,0.0,1.0
18,la lumière du jour faiblit --\\ma mère pose\\deux fois la même question,H,F,1.0,0.0
3012,midi du jour 8 ~\\les sirènes ne font pas\\taire les oiseaux,H,F,1.0,0.0
127,bientôt à la maison\\faire une halte à l'étang\\pour réfléchir,F,F,1.0,0.0
238,une île\\sur papier glacé glissée\\sous la porte,H,H,0.0,1.0
629,Lisbonne Bergerac\\le va et vient incessant\\des essuie-glaces,H,H,0.0,1.0
2417,peur d'un gamin\\avec les yeux d'un viel homme\\aiguilles de givre,H,H,0.0,1.0
2025,nuit blanche\\je rassemble les pétales\\des roses fanées,F,H,0.0,1.0
3169,Nuit venue trop tôt\\Le lit est resté défait\\Vide et trop grand...,F,F,1.0,0.0
2225,dans le jardin oublié\\elle sème ses pétales\\l'aubépine,F,F,1.0,0.0
20,nuit d'automne\\dans la lumière bleue\\une rose jaune,F,F,1.0,0.0
609,nuit d'automne --\\la bête a crié longtemps\\dans le jardin,H,H,0.0,1.0
308,pleine lune --\\après la soupe aux potirons\\son ventre plus rond,H,F,1.0,0.0
2935,village perdu\\une vieille à sa fenêtre\\veille sur le virage,H,F,1.0,0.0
3241,Bébé a faim\\dans ses balconnets fleuris\\une odeur de lait,F,F,1.0,0.0
1576,secousses du tramway\\pointe de l' hameçon\\au soleil,F,F,1.0,0.0
437,Lune gibbeuse -\\il manque un fragment\\à son puzzle,F,H,0.0,1.0
2334,empreintes dans la neige\\des mots\\que je ne peux reprendre,H,H,0.0,1.0
2636,visite d'automne --\\sur les nouvelles de la guerre nous parlons\\de bébés . . .,F,H,0.0,1.0
397,regardant les mouettes\\fouiller les restes du marché\\imaginer la mer,H,H,0.0,1.0
128,une libellule\\sur une libellule\\chaleur d'été,H,H,0.0,1.0
1744,soirée de brume-\\une note solitaire\\s'échappe d'un saxo,F,F,1.0,0.0
1659,Avec le mur détruit\\les mots aussi\\Se brisent,H,H,0.0,1.0
3214,nouvelle lune . . . \\le son mat\\d'une noix,F,F,1.0,0.0
2650,brouillard d'hiver -\\se chauffer à la voix\\de Bessie Smith,H,F,1.0,0.0
1163,colline nue—\\du verre brisé étincelle\\où le soleil se déplace,H,H,0.0,1.0
848,JOUR DE VENTE -\\un lever anticipée\\pour le sans-abri,H,F,1.0,0.0
173,nuages d'orage -\\elle repeint la cabane\\en gris anthracite,H,H,0.0,1.0
1057,Éclats rouges –\\le cognassier du japon\\réchauffe le jardin,F,H,0.0,1.0
715,équinoxe d'automne --\\le claquement\\d'un fil à marquer (contre le mur),F,H,0.0,1.0
779,il y a longtemps\\je jetais tes lettres\\empreintes dans la neige,H,H,0.0,1.0
161,ciel couvert --\\juste encore un jeu\\de solitaire,H,H,0.0,1.0
1508,les ombres du lilas\\escaladent le mur du jardin;\\se glissent dans les bois,H,H,0.0,1.0
1505,rénovation du placard--\\en retirant tous ses vêtements\\elle encloue le menuisier,F,H,0.0,1.0
199,la marque du sel\\sur son pantalon de ville -\\un homme à la mer,H,F,1.0,0.0
2245,tramway bondé\\à chaque station\\un arbre en fleur,F,H,0.0,1.0
2528,Fin de l'année\\balayant les mouches\\du balcon,H,H,0.0,1.0
548,crépuscule -\\une dernière buse\\en cercles lents,H,H,0.0,1.0
1017,épiphanie -\\le cadeau d'une souris morte\\sur le seuil,H,H,0.0,1.0
1063,malgré\\les bombes et les mensonges\\les fleurs sauvages,F,H,0.0,1.0
139,dormant\\à côté du poisson orange -\\pleine lune de novembre,H,H,0.0,1.0
1273,quelqu'un marche\\autour de la maison -\\pluie de printemps,H,H,0.0,1.0
1261,Memorial Day --\\les étoiles obscursies\\par une fumée lointaine,H,H,0.0,1.0
3202,Seul dans ma nuit\\souvenir des lampions\\de mon enfance,H,H,0.0,1.0
228,endormi\\sur le sol du metro\\le soldat inconnu,H,H,0.0,1.0
896,matin d'hiver\\un long chemin de lumière\\coupe le jardin,H,F,1.0,0.0
499,sous l'épervier\\faisant le Saint Esprit :\\un tas de fumier,F,H,0.0,1.0
2265,"vite entrevue, ce soir,\\la plaque d'une\\Rue du vent",H,H,0.0,1.0
2382,bombes au phosphore --\\l'odeur de chair brûlée\\des crématoires,H,H,0.0,1.0
858,parking de l'hôpital -\\une bouffée de roses\\avant d'entrer,H,H,0.0,1.0
240,planté là\\par une petite amie --\\étoile filante,H,H,0.0,1.0
1673,28° jour\\en miroir sur le fleuve\\à nouveau la lune,H,F,1.0,0.0
2180,moins quarante-six\\la fumée de mon café\\réchauffe mon nez,F,H,0.0,1.0
2568,flambant neuf\\les pétales blancs\\du cerisier,F,F,1.0,0.0
824,Courrier du matin\\trois crocus jaunes\\sur un timbre,F,F,1.0,0.0
2493,long arrêt du train -\\les 33 cl d'Amsterdam Maximator\\descendent,H,F,1.0,0.0
3299,avec mon père \\parler d'apprendre à vieillir \\- l'odeur des clématites,H,H,0.0,1.0
2230,escalier de pierre\\sur les marches usées elle foule\\deux ou trois nuages,F,H,0.0,1.0
504,Dans la brume\\surgit la joggeuse puis\\une bouffée de parfum,H,F,1.0,0.0
1298,des fleurs\\coupées précocement\\sur le trottoir,F,F,1.0,0.0
45,nuit chaude\\le string de la voisine sur la corde à linge,H,H,0.0,1.0
3128,l'arbre à papillons\\borde le cimetière -\\quelle chaleur,H,H,0.0,1.0
2279,plage familiale-\\les femmes font des pâtés\\et gardent leur maillot,H,H,0.0,1.0
854,passant devant leur maison vide -\\son petit baiser\\encore sur la vitre,H,H,0.0,1.0
1469,   ciel d'automne\\   des teintes de rose et de pourpre\\   champ de citrouilles,F,F,1.0,0.0
1131,reprenant le livre\\ouvert sur la table\\- quelques grains de sable,H,H,0.0,1.0
1534,hiver\\dans les yeux de grand-mère\\une ombre grise,F,H,0.0,1.0
0,nettoyage de printemps . . . \\je peins sur\\les moustiques de l'an dernier,F,F,1.0,0.0
48,Bouquet de fleurs\\Déposé contre un arbre\\Dans la pluie,H,H,0.0,1.0
2365,"chemises à repasser\\montagne de coton, soupir\\bruit de vapeur",H,H,0.0,1.0
1065,après la pluie\\sur le mur - tisse encore\\l'araignée,F,F,1.0,0.0
1704,deux mois et cent-vingt messages\\tes mots adorés,F,H,0.0,1.0
1958,Boules de neige\\ses gateaux de saisons\\mangés un par un,F,H,0.0,1.0
3174,Alambic -\\au dôme d'une mosquée\\Leïla le compare,H,F,1.0,0.0
1535,sonate de Bach\\le rouge à lèvres\\de la soliste,H,H,0.0,1.0
2878,le malentendant\\avec ses lunettes -\\noires,H,F,1.0,0.0
877,Chaleur torride\\Il astique le reflet\\de sa Porsche noire,H,F,1.0,0.0
2885,vitrine du libraire -\\les couvertures décolorées\\des romans de l'été,H,H,0.0,1.0
1635,200 miles . . . \\cette fleur de prunier\\sur mon pare-brise,F,H,0.0,1.0
2410,les lampes éteintes\\sur la vitrine d'armes\\la lune,H,H,0.0,1.0
1782,à la porte de chez Fauchon\\une flaque de vomi\\- fin de l'an,H,H,0.0,1.0
2774,canicule\\sous nos corps immobiles\\la moiteur du lit,F,H,0.0,1.0
2926,Gaza\\avec les roquettes\\on fabrique des poêles à frire,H,F,1.0,0.0
1700,terrasse au midi\\toutes les ombres\\sentent l'anis,H,H,0.0,1.0
169,ciel sans nuage\\un cerf-volant rouge\\se perd dans le lointain,F,F,1.0,0.0
2960,une île et une grosse vague\\mal à l'aise en regardant le choix\\de son fond d'écran,F,F,1.0,0.0
1803,parcours chatouilleux\\d'insecte sur ma joue\\- passage d'avions,H,H,0.0,1.0
1913,thé du soir\\dans un parfum de menthe son absence\\infuse,H,F,1.0,0.0
2766,dans la haie\\les fenêtres éclairées\\d'un train,H,F,1.0,0.0
1947,Dans le boulodrome abandonné\\plus que des bogues de marrons,H,F,1.0,0.0
463,dans la citrouille \\à la place de la bougie \\une lampe à diode,H,H,0.0,1.0
2543,il se ha?e\\pour traverser le chemin\\l'escargot imprudent !,H,F,1.0,0.0
948,père et fils dans l'eau\\la jeune mère voilée\\dans l'ombre,H,H,0.0,1.0
2620,"Des nuages paressent\\sur la pyramide du Louvre\\en bas, la cohue",H,H,0.0,1.0
168,les feuilles rouges\\les premières à tomber\\un porto ce soir,F,H,0.0,1.0
1710,Vieille rue du centre\\Un plein magasin\\De fringues gothiques,H,H,0.0,1.0
2138,continuellement -\\dans la nuit d'été\\sirène après sirène,H,H,0.0,1.0
242,bruits feutrés\\quelques secondes des ailes\\du papillon,F,H,0.0,1.0
685,toute une procession\\ces funérailles du trente et un\\décembre 2004,F,H,0.0,1.0
890,jours de neige --\\plus de blanc que je ne croyais\\dans ma barbe,H,H,0.0,1.0
193,les volets ouverts\\une part d'ombre subsiste\\dans la chambre vide,H,H,0.0,1.0
1243,Cigale en faïence\\et déambulateur -\\fin du voyage,F,F,1.0,0.0
2357,du puits\\dans un seau j'attrape\\une lune,H,H,0.0,1.0
1153,crèmes de beauté\\le jour la nuit le jour\\l'automne touche à sa fin,F,H,0.0,1.0
1517,nuit orageuse -\\le bourdonnement\\d'une moissonneuse,H,H,0.0,1.0
3053,"pélérine rouge\\de la jeune fille, pour sortir\\le pitbull",H,H,0.0,1.0
405,berges du marais\\dans ce vieux saule l'automne\\n'a laissé qu'un nid,H,H,0.0,1.0
365,Les moustiques\\dans ma nouvelle maison\\ne m'ont pas suivi,H,H,0.0,1.0
325,entre deux averses\\la bouteille de saint-julien\\commence sa décrue,H,H,0.0,1.0
953,touffeur nocturne -\\la petite chienne se lève\\sous la voie lactée,H,F,1.0,0.0
2586,Ce jour sombre et gris --\\une pluie fine tombe surveillent\\les roses déssèchées,F,H,0.0,1.0
1463,demi-lune\\la glace craque\\sous les pas,H,H,0.0,1.0
26,pleine lune de printemps -\\après la nuit\\...jeûner,H,F,1.0,0.0
